name,age,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves,body_type,release_clause_eur,team_position,team_jersey_number,joined,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_league,likes,dislikes,follows,comments,minutes_played_overall,goals_overall,clean_sheets_overall
Jan Oblak,25,188,87,Slovenia,Atlético Madrid,90,93,68000000,94000,Right,3,3,1,Normal,144500000.0,GK,13,17/07/2014,2021,,,,,,,86.0,92.0,78.0,89.0,52.0,88.0,13,11,15,29,13,12,13,14,26,16,43,60,67,86,49,22,76,41,78,12,34,19,11,70,11,70,27,12,18,86,92,78,88,89, Spain Primera Division (1),137.0,9.0,676.0,"[""He's either a headless chicken or a dead starfish when it comes to penalties. "", 'Oblak : 91 ', 'Alisson : 90', 'Navas : 90', 'ter Stegen : 90', 'Courtois : 89', 'Best goalkeeper in the world he really kept them in the games against Real Madrid and Barcelona during the super cup had a lot of unbelievable saves', '92/93', 'He needs to work a lot on penalties', 'He is Karius when hes facing penaltys.', 'He and the ref  saved Atletico vs Barcelona in Supercopa. 92/93 deserved. Note reflexes defenetly and Diving. Ea pls correct IT. ', '92-93', 'Best goalkeeper on the world, deserves a better team where he can win more championships ', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",3330,0,20
Thibaut Courtois,26,199,96,Belgium,Real Madrid,90,91,62000000,250000,Left,4,3,1,Courtois,131800000.0,GK,25,09/08/2018,2024,,,,,,,87.0,91.0,74.0,88.0,49.0,87.0,14,14,13,33,12,13,19,20,35,23,46,52,61,84,45,36,68,38,70,17,23,15,13,44,27,66,20,18,16,87,91,74,87,88, Spain Primera Division (1),,,,,2430,0,8
Manuel Neuer,32,193,92,Germany,FC Bayern München,90,90,44000000,135000,Right,5,4,1,Normal,72600000.0,GK,1,01/07/2011,2021,,,,,,,91.0,88.0,91.0,88.0,57.0,88.0,15,13,25,55,11,30,14,11,59,48,54,60,51,84,35,25,77,43,80,16,29,30,12,70,47,70,17,10,11,91,88,91,88,88, German 1. Bundesliga (1),129.0,18.0,327.0,"['', ""His reflexes aren't as fast as before but he made up for it by improving his positioning, kicking, handling and diving. "", '', ""Still Germany's undisputed #1 "", 'Diving-->88', 'Handling-->87', 'Kicking-90', 'Position--87', 'Reflex-->88', '', 'Reaction-->89', '', 'Overall 90/90', 'Kicking - 93', '90/90', 'Top 4 keeper itw', 'So Rummenigge said that Pep wanted to play him as a midflieder, but Rummenigge told him that it would be arrogant. ', ""Can any Bayern fan tell me if he's playing well?"", 'He is playing very well. After his long injury he became better and better again. I think he will never again be as good as he was around 2014, but he is closer at the moment than he ever was within the last 3 years.', 'Thanks!']",2303,0,10
Marc-André ter Stegen,26,187,85,Germany,FC Barcelona,89,92,58000000,240000,Right,3,4,1,Normal,123300000.0,GK,1,01/07/2014,2022,,,,,,,87.0,85.0,88.0,90.0,45.0,85.0,15,14,11,30,14,17,18,12,38,18,38,50,37,85,43,22,79,35,79,10,43,22,11,69,25,69,25,13,10,87,85,88,85,90, Spain Primera Division (1),110.0,16.0,517.0,"['Oblak 92/93', 'Ter Stegen 90/92', 'Courtois 89/91', '91/93 top class goalkeeper. Sad that Bayern national team (Germany) makes play Neuer even when he is injured ', 'Oblak : 91 ', 'Alisson : 90', 'Navas : 90', 'ter Stegen : 90', 'Courtois : 89', 'He is making too many mistakes lately', 'What happened with him in that goal?', 'Deflection ', 'God damn.', ""He was bad positioned in Maxi Gómez's goal, but anyways."", 'Nice PK save.', 'Alisson, Ter Stegen and Oblak are the best GKs in the world.', '', 'Could make a case for either one of them to be the leading GK in Europe and in the world right now.', '', 'De Gea seems to have declined after the 2018 WC and Neuer has slightly dipped.']",3150,0,16
Gianluigi Buffon,40,192,92,Italy,Paris Saint-Germain,88,88,4000000,77000,Right,4,2,1,Normal,7400000.0,SUB,1,06/07/2018,2019,,,,,,,88.0,87.0,74.0,83.0,46.0,90.0,13,15,13,37,17,26,20,13,35,28,49,43,55,79,49,39,75,39,69,13,38,28,12,50,22,70,13,11,11,88,87,74,90,83, French Ligue 1 (1),82.0,7.0,200.0,"['42', 'Happy birthday to the greatest keeper of all time', '', '', ""They should've added the save on Iniesta against Barcelona"", 'There was a few good saves missing from that clip bro I doubt we will ever see a keeper like him again, who is consistently good throughout his entire career', ""Maybe Donnarumma if improves and become a top 3 goalkeeper from the age of 25 to the age of 35 and still be good at 42. Unfortunately it's highly unlikely Gigi has one of the most unrepeatable careers in sports history."", 'https://m.youtube.com/watch?v=iKlwZeMzXDE', 'That Save to Iniesta is not even top 20 of his saves.', '', 'https://m.youtube.com/watch?v=1S1iZSdDEM8', ""I've already seen both like most of Buffon saves and 99% the game he played since 2001( before that I was too young to remember and he was playing for Parma). Reasons why I said the save on Iniesta "", '1 the video we were talking about was posted by the UCL channel so I only took in consideration champions League games', '2 that save might not be as spectacular but it is more rare because it requires in higher understanding of the game and a positioning way higher than the average', '3 it involves two of the best ever players', '4 he was 39 which makes it more special', '', 'There will never be an other GK like him', 'GOAT!', 'Why in the fuck the search tool says that he has ""91 PHY""?']",1530,0,6
Samir Handanovič,33,193,92,Slovenia,Inter,88,88,30000000,110000,Right,3,2,1,Normal,51000000.0,GK,1,01/07/2012,2021,,,,,,,87.0,86.0,69.0,89.0,53.0,89.0,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,22,78,41,71,19,25,22,12,41,23,69,25,10,13,87,86,69,89,89, Italian Serie A (1),32.0,4.0,141.0,"['Imagine being a small country and having two of the best goalkeepers in the world and thus just being able to play one of them. The other one sits on the bench with a bunch of crap players (in comparison with him), with all due respect. I know Handanovic has quit.', '90 diving', '90 positioning', '90 reflex ', '86 handling ', '75 kicking ', '90/90 overall!!!', ""90/90 this guy is a beast, smart goalie this one!!! Should have been upgraded for being the best last season too so I'm surprised that he didnt "", 'Is he good this season? If not or if he is aging, would you want Inter Milan to buy a new goalkeeper?', ""He's still as good as ever. We'll have to find his replacement eventually but right now it's not a priority"", ""I would say right now it's ok, he is still at his top if not better, getting a young goalie means that that goalie is on the bench! "", 'A little bit downgraded for his performance in this season', 'Lower reflexes and diving', '87/87', ""Not sure what you're talking about"", 'You trolling dude? Lol', 'Il capitano.', '', '99/99', 'He is an excellent goalkeeper, one of the best of the world, but for his age, he deserves 87/87.']",3420,0,17
Hugo Lloris,31,188,82,France,Tottenham Hotspur,88,88,36000000,150000,Left,4,1,1,Lean,66600000.0,GK,1,01/08/2012,2022,,,,,,,88.0,84.0,68.0,92.0,63.0,83.0,13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,23,74,41,43,14,31,27,10,30,40,65,29,10,18,88,84,68,83,92, English Premier League (1),52.0,3.0,233.0,"[""He's retarded"", 'At 33 he is still so quick. MOTM vs City imo', 'Surprised at how fast he returned from his awful arm injury. And back to his bets form it seems', 'Finally', 'Agree, he was so bad this past few months.', '88wow', 'Lol, chill guys, why downgrading a injured player? Lmao', '86/86', '81 81', ""Wow, 43 Strength, he's not that weak isn't he?"", 'I want to save you all a headache! In FIFA 20 he makes mistakes constantly! All he does is punch the ball away and it leads a lot of time to the net being wide open for the easy goal. You’ve been warned.', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",2970,0,12
Keylor Navas,31,185,80,Costa Rica,Real Madrid,87,87,30500000,195000,Right,3,3,1,Normal,62500000.0,SUB,1,04/08/2014,2020,,,,,,,90.0,81.0,75.0,90.0,53.0,82.0,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,68,25,67,28,14,14,90,81,75,82,90, Spain Primera Division (1),52.0,11.0,134.0,"['https://www.fourfourtwo.com/features/10-best-goalkeepers-world?page=0%2C1', '', ""And with respected German entity Transfermarkt which ranks Navas in a lowly 59th place, albeit tied with 10 others which might charitably bring him to 49th place among the world' s keepers."", 'https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=1&altersklasse=alle&jahrgang=0&land_id=0&kontinent_id=0&yt0=Show', '', 'and why are we supposed to give a flying fuck about this shitty list?', 'Dude´s market value is hardly 10 € M, where on earth did these people get that outlandish figure of £ 30.5M?', 'Oblak : 91 ', 'Alisson : 90', 'Navas : 90', 'ter Stegen : 90', 'Courtois : 89', 'Arguably the best goalkeeper to ever play the game from the american continent.', 'Júlio César, Dida 🥵 ', 'but Navas maybe even stronger', 'Julio César prime was too short.', 'Dida always inconsistent.', '', ""Chilavert, Higuita, and Ceni were amazing during their time. Alisson and Ederson are great, too. But Navas is a great goalkeeper and was a key part of Real Madrid's Champions League success under Zidane."", 'Chilavert was overrated.']",900,0,4
Mattia Perin,25,188,77,Italy,Juventus,84,89,29500000,105000,Right,2,3,1,Lean,50900000.0,SUB,22,01/07/2018,2022,,,,,,,81.0,85.0,71.0,90.0,56.0,79.0,11,11,12,33,19,19,15,13,31,23,57,56,70,79,30,23,75,30,52,17,25,19,12,44,21,65,20,12,19,81,85,71,79,90, Italian Serie A (1),104.0,3.0,938.0,"['Por que no figura como cedido? está a prestamo por la Juve', '', 'I was hoping you to become legend but you sink to the bottom.', 'Behrami and Perin back in Genoa for at least half a season. Still need another striker if they hope to stay in the top division.', 'I hope he recovers in Genoa and goes to another club in the summer', 'genoa', 'He shoulda never joined Juve. What a waste of time. He should have gone to Valencia/Betis/Sevilla/Atalanta/Roma/Napoli/Milan. A team that actually needs him. Idk if going back to Genoa is gonna be good cause they might get relegated. Hope they don’t.', 'not sure why hes still at juve', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",810,0,5
Bernd Leno,26,190,83,Germany,Arsenal,84,87,27000000,115000,Right,3,4,1,Normal,53300000.0,SUB,19,01/07/2018,2023,,,,,,,84.0,82.0,73.0,82.0,49.0,85.0,9,9,13,37,10,16,9,8,33,22,46,52,52,80,44,23,73,43,68,14,28,22,7,53,23,65,27,15,18,84,82,73,85,82, English Premier League (1),88.0,7.0,661.0,"[""He's a good shot stopper, but he need to improve his contribution. It's so frustrating when he has the ball at his feet. His decision making on the ball is poor"", '85/87. EA probably will probably make him 84/85 though knowing them.', ""He has been playing amazingly and has improved a lot this season, nonetheless people here saying he's part of the top 3 goalkeepers worldwide are delusional. "", 'Best Goalkeppers', '1. Alisson', '2. Ter Stegen', '3. Oblak', '4. Courtois', '5. Navas', '6. Leno', '7. Neuer', '8. Szczęsny', '9. Ederson ', '10. De Gea', 'De Gea over Ederson, and put Onana in place of Szczęsny. Also Courtois is doing a better season than Ter Stegen (In LaLiga)', ""yeah but Ter Stegen is not playing bad and been consistent unlike Courtois last season was making mistakes i would of put him like at number 8 but how this season is doing way better i put him to 4, De Gea isn't the same he was 3-4 years ago he is not that reliable anymore. Man city without Ederson struggle to keep a clean sheet with Bravo in goal. Onana is really good goalkepper but his league is not that competive and De Ligt and Lozano were the best in the League and now are struggling to get playing time only De Jong has flourish with Barca. De Ligt was getting minutes under Allegri and when Sarri got there he stop getting minutes prefering to play Demiral but now it seems he is going to Start for Juve again since Demiral is injured"", ""But Onana is one of the world's best GKs."", 'yeah just like lloris, but there is too many Top class Goalkeepers', ""Lloris was injured for some time, but honestly, I think that he's a bit overrated."", 'De Ligt never played under Allegri. He signed when Sarri was the coach. ']",2835,0,7
