0,0,20801,https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/19/159222,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,33,05/02/1985,187,83,Portugal,Juventus,94,94,77000000,405000,"ST, LW",Right,5,4,5,High/Low,Normal,Yes,127100000.0,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LW,7,,10/07/2018,2022,LS,7.0,90.0,93.0,81.0,89.0,35.0,79.0,,,,,,,"Power Free-Kick, Diver, Flair, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), Through Ball",84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,85,95,28,31,23,7,11,15,14,11,91+3,91+3,91+3,89+3,90+3,90+3,90+3,89+3,88+3,88+3,88+3,88+3,81+3,81+3,81+3,88+3,65+3,61+3,61+3,61+3,65+3,61+3,53+3,53+3,53+3,61+3, Italian Serie A (1),715.0,280.0,817.0,"['Exactly', 'Benzema surpassed him on sunday as the Player with the most Assists in Real Madrids history. (132). ', '', 'Ronaldo 2nd with 131 Assists ', 'No one cares.', ""for anyone saying Messi has a better season because he has more G/A per game, he's not, it's not even close and here's why:"", '', ""Context matters. 2 out of Messi's 14 league goals came against the top 10 sides. This means that 12 out of 14 (86%) of his goals are scored against the bottom 10 teams. Ronaldo has got the tied most match-winning goals in Europe's leagues at 11, while Messi isn't even in the top 10 with 5 or less. Yes, Messi is having a better season CREATING WISE,  but even then, 2 of his most recent assists, for example, came in a 5-0 win against 19th placed Leganes in the Copa del Rey. Although he has provided versus Betis last game with an assist hattrick too."", '', ""Ronaldo, on the other hand, has scored 11 out of Juventus' last 13 goals and has 20 league goals, 4 TIMES MORE than the next player on Juve (Higuain/Dybala with 5)."", 'the notion that Higuain/Dybala play for Ronaldo and create for him is false. Dybala has 3 league assists and Higuain 4, 2 each to Ronaldo. Admittedly, Dybala has won 3 penalties for Ronaldo this season too. People only look at the stats and refuse to see the bigger picture. ', '', ""As for anyone who downvoted, I'd love you to try and argue anything I said. Hide behind downvotes all you want, but you know I'm right."", 'You say that Messi has scored most his goals against bottom sides, meanwhile you count Ronaldo’s international goals against bottom sides as well. ', '', 'Hypocrite.', ""All goals count, my man. But they do not all have the same weight. Some are more important than others. For instance, scoring the winning goal in a 2-1 game verses scoring the 5th goal in a game that was already 4-0. Both players have scored both types of goals. But more of Ronaldo's goals have had game deciding importance compared to Messi this season. That is indisputable."", '2019-2020 Ronaldo having a ""world class"" season of   GOALS:22       ASSISTS:2            TOTAL: 24', '', '2019-2020 Messi having a ""poor"" season   of                GOALS:19       ASSISTS:10           TOTAL: 29']",4998,Cristiano Ronaldo,Juventus,Portugal,2689,21,14
1,2,190871,https://sofifa.com/player/190871/neymar-da-silva-santos-jr/19/159222,Neymar Jr,Neymar da Silva Santos Junior,26,05/02/1992,175,68,Brazil,Paris Saint-Germain,92,93,118500000,290000,"LW, CAM",Right,5,5,5,High/Medium,Lean,Yes,228100000.0,"#Speedster, #Dribbler, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward",CAM,10,,03/08/2017,2022,LW,10.0,92.0,84.0,83.0,95.0,32.0,59.0,,,,,,,"Diver, Selfish, Flair, Speed Dribbler (CPU AI Only), Technical Dribbler (CPU AI Only), Takes Finesse Free Kicks",79,87,62,84,84,96,88,87,78,95,94,90,96,94,84,80,61,81,49,82,56,36,89,87,81,94,27,24,33,9,9,15,15,11,84+3,84+3,84+3,89+3,89+3,89+3,89+3,89+3,89+3,89+3,89+3,88+3,81+3,81+3,81+3,88+3,65+3,60+3,60+3,60+3,65+3,60+3,47+3,47+3,47+3,60+3, French Ligue 1 (1),468.0,136.0,1287.0,"['Why ?', 'because this 2 aliens are above of the rest.', '93/93', '90 finition +3', '90 passe courte +3', '90 CF +3 ', '85 passe longue +4 ', '94 équilibre +10', '85 endurance +4 ', '88 tir de loin +4 ', '90 positionnement +3 ', 'Did Neymar said that he wants to join Inter Miami?', 'Yes but in 10 years', 'He actually posted a bald picture of himself on Instagram. Man his hairstyles are going out of control.. ', '""Neymar, Marquinhos and Thiago Silva are back in training,"" he told a news conference. ""However, Lyon is a bit too early for them. We are taking no risks with Neymar before Dortmund."" ', '', '- Thomas Tuchel speaking to ESPN ', 'He better be back before the amiens game at least so he has ample time to train and all. Some game time wouldnt be too bad but Im glad he is getting the rest. He will come back strong im sure. ', '~ Overrated as fuck', '']",3334,Neymar Jr,PSG,Brazil,1443,15,6
2,4,192985,https://sofifa.com/player/192985/kevin-de-bruyne/19/159222,K. De Bruyne,Kevin De Bruyne,27,28/06/1991,181,70,Belgium,Manchester City,91,92,102000000,355000,"CAM, CM",Right,4,5,4,High/High,Normal,Yes,196400000.0,"#Dribbler, #Playmaker  , #Engine, #Distance Shooter, #Crosser, #Complete Midfielder",RCM,17,,30/08/2015,2023,RCM,7.0,77.0,86.0,92.0,87.0,60.0,78.0,,,,,,,"Leadership, Early Crosser, Long Passer (CPU AI Only), Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only)",93,83,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,60,87,94,79,88,67,58,51,15,13,5,10,13,82+3,82+3,82+3,87+3,87+3,87+3,87+3,87+3,88+3,88+3,88+3,88+3,87+3,87+3,87+3,88+3,77+3,77+3,77+3,77+3,77+3,73+3,66+3,66+3,66+3,73+3, English Premier League (1),261.0,21.0,1027.0,"['Even if a lot of people will disagree, I state my opinion about him: He is one of the best midfielders of all time in my opinion. I got the same feel when I see his passes and when he steps on the pitch, like I had with Iniesta or Pirlo. He is just class. He established a type of „number 10“ on the pitch that isn‘t only the classic „trequartista“, he made it in a modern way, that suits the more dynamic type of play that is the standard now. ', '', 'His shooting abilities, his workrates, his passing game and how important he is for City and Belgium, also how he nearly alone won the DFB Pokal with Wolfsburg and pushed them over limits was insane. Or how he adapted as a young boy at Bremen, played every position between regista and striker and was successful. He got one of the biggest football IQ‘s of all time, wasn‘t really suprised when Pep wanted him at Bayern and he gone to City where this duo worked very well and absolutely dominant.', '', 'Also had his markable games to have a very good world cup with Belgium. The only thing I have to admit is, he doesn‘t had a goal like Iniesta in a final or a baller penalty with all the pressure like Pirlo, but this countries also had better squads in such contests than Belgium, that got world class quality but also weaknesses.', '', 'I‘m still annoyed that Mou didn‘t let him go to Borussia when he wanted to left Chelsea and how he fucked us in the season where he won the Pokal with Wolfsburg.. goddamn.', 'He made it and yeah there were games were he spammed crosses, but that was plan of the individual tactic to beat the opponent and he did it. Just a player that understands and helps to do, what the coach asked for. I‘m not a City supporter, but I hope he get his special moment in CL and pushes them into the final, just that a few more people recognize his abilities that imo deserve an icon status some day. Just a very well rounded midfielder who dominantes totally. ', 'he is best midfielder in the world right now. ', 'Shame he won\'t win the PFA POTY Award because he\'s ""not been consistent"", even though he has the most assists in Europe, most chances created in Europe, most key passes in Europe, and most goals from a midfielder in Europe.', 'Yeah :(', ""He has a great chance to win it. It's decided by players and they usually have a footballing brain."", 'Best player in the epl and easily the best CM in the world.', '', '99 crossing tbh, one of the best crossers and playmakers of all time.', 'Realistically, this is what I would give him:', '', 'Acceleration: 81 (+4)', 'Sprint Speed: 80 (+4)', '']",2510,K. De Bruyne,Manchester City,Belgium,974,2,12
3,5,155862,https://sofifa.com/player/155862/sergio-ramos-garcia/19/159222,Sergio Ramos,Sergio Ramos García,32,30/03/1986,184,82,Spain,Real Madrid,91,91,51000000,380000,CB,Right,4,3,3,High/Medium,Normal,Yes,104600000.0,"#Aerial Threat, #Tackling , #Tactician , #Complete Defender",LCB,4,,01/08/2005,2020,LCB,15.0,75.0,63.0,71.0,71.0,91.0,84.0,,,,,,,"Dives Into Tackles (CPU AI Only), Leadership, Power Header, Team Player",66,60,91,78,66,61,73,67,72,84,76,75,78,85,66,79,93,84,83,55,84,90,52,63,68,80,89,92,91,11,8,9,7,11,71+3,71+3,71+3,69+3,69+3,69+3,69+3,69+3,69+3,69+3,69+3,70+3,74+3,74+3,74+3,70+3,82+3,83+3,83+3,83+3,82+3,84+3,87+3,87+3,87+3,84+3, Spain Primera Division (1),177.0,79.0,328.0,"['90/90 ', ""I don't know if the International reputation is still real stat considering how inconsistent the overall boosts are, but I think he is the one defender who deserves 5*. "", 'Sure', 'There needs to be a blocking skill where he has somewhere between 96-99. If not, then at least 92-93 interception. ', 'Just checked, this dude has literally made his last 16 (!) pens and 22 of 25 overall. needs an upgrade for it badly, at least 90', 'Agree, after that horrible miss were he smashed it out the stadium he has worked and worked on his PKs.', 'And now it\'s ""vintage Balotelli-esque""', 'better than van fraud', 'Typical jealousy', '', 'Mark my words. Van Dijk will be 92 rated when they win the EPL without a loss and their second consecutive CL trophy. A rating Ramos never had.', 'defenders were rated differently in earlier FIFAs. how about VVD gets in the FIFPRO World XI  10 times, wins 4 UCL, a WC and 2 euros, then we can compare them', 'If you said it like that we can never compare them lol.', ""yeah that's the point of my comment lad. VVD can never touch a quarter of Ramos' legacy"", 'You speak about jealousy, yet you sound pretty biased yourself.', ""If i'm being totally honest, never EVER seen a defender as good as VVD is right now. "", '', ""Yeah Vidic, Ramos, Chiellini, Godin has done it for longer. But VVD defending this last 18 months has been unlike anything i've ever seen. People are waiting months for him to make a SINGLE mistake just to take the piss."", 'Thats how good is.', '']",7958,Sergio Ramos,Real Madrid,Spain,2476,6,10
4,6,176580,https://sofifa.com/player/176580/luis-suarez/19/159222,L. Suárez,Luis Alberto Suárez Díaz,31,24/01/1987,182,86,Uruguay,FC Barcelona,91,91,80000000,455000,ST,Right,5,4,3,High/Medium,Normal,Yes,164000000.0,"#Dribbler, #Clinical Finisher",ST,9,,11/07/2014,2021,LS,9.0,80.0,90.0,79.0,88.0,52.0,85.0,,,,,,,"Diver, Beat Offside Trap, Outside Foot Shot, Technical Dribbler (CPU AI Only)",77,94,77,82,88,87,86,84,64,90,86,75,82,93,83,86,69,90,83,85,87,41,92,84,85,85,62,45,38,27,25,31,33,37,87+5,87+5,87+5,86+5,87+5,87+5,87+5,86+5,86+5,86+5,86+5,85+5,79+5,79+5,79+5,85+5,69+5,68+5,68+5,68+5,69+5,66+5,63+5,63+5,63+5,66+5, Spain Primera Division (1),142.0,48.0,368.0,"[""I wonder if EA will downgrade him now that he's injured for a long time, that's what they usually do."", ""Probably the best type of ST for our style of play and to top it such an amazing player. It has been great to have him. Could still do a job as a rotation player but that's up to him"", 'I thought he played better compare with last season. Such a shame about that injured', 'Injured until the end of May', '14 goals & 10 assists in 23 games', 'out for the season', 'His season is over', 'Cristiano reserves himself for big matches, and Follow a plan to be better Physically .. and Suárez WANTS TO PLAY EVERYTHING .. INJURED AGAIN .. ', ""That's not only a problem involving only suarez, he's played this season with pain and you can see that in every match he's played, that is a mistake from all the barca team, the bad thing is that he was starting to gain more confidence and be more desicive for the team. His body is failing him more often now and barca needs to take inmediate action for that, suarez should take a secondary role or just change team. "", '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",7858,L. Suárez,FC Barcelona,Uruguay,2829,21,14
5,2222,225591,https://sofifa.com/player/225591/leonardo-suarez/19/159222,L. Suárez,Leonardo Suárez,22,30/03/1996,167,60,Argentina,Real Valladolid CF,72,80,4600000,18000,"RM, LM",Left,1,3,4,Medium/Low,Lean,No,,,SUB,32,Villarreal CF,,2019,,,68.0,70.0,73.0,78.0,23.0,36.0,,,,,,,"Injury Prone, Selfish, Technical Dribbler (CPU AI Only)",75,74,54,74,59,77,76,70,70,76,72,65,88,66,91,65,74,38,32,70,36,15,68,73,62,68,23,22,11,11,14,6,15,7,67+2,67+2,67+2,73+2,71+2,71+2,71+2,73+2,73+2,73+2,73+2,71+2,64+2,64+2,64+2,71+2,47+2,45+2,45+2,45+2,47+2,43+2,34+2,34+2,34+2,43+2, Spain Primera Division (1),9.0,1.0,136.0,"['NiCe StAmInA dUdE!! 🤓', 'Is he actually good or is he not', ""That is Shakespeare's greatest question isn't it?"", 'With that stamina waking up and walking down the stairs seems difficult.', 'Man still lasts longer running than I do in bed :///', 'Mas troncos para el bosque...', 'He plays like 100 stamina if weirdly', ""EA well never get it. So this guy can't even make it out of the bus cause he'll be too exhausted from siting on the way to the stadium."", '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",7858,L. Suárez,FC Barcelona,Uruguay,2829,21,14
6,7,177003,https://sofifa.com/player/177003/luka-modric/19/159222,L. Modrić,Luka Modrić,32,09/09/1985,172,66,Croatia,Real Madrid,91,91,67000000,420000,"CM, CDM",Right,4,4,4,High/High,Lean,Yes,137400000.0,"#Dribbler, #Playmaker  , #Engine, #Crosser, #Acrobat, #Complete Midfielder",RCM,10,,01/08/2012,2020,,,76.0,76.0,90.0,91.0,70.0,67.0,,,,,,,"Leadership, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",86,72,55,93,76,90,85,78,88,93,80,72,93,90,94,79,68,89,58,82,62,83,79,92,82,84,60,76,73,13,9,7,14,9,77+3,77+3,77+3,85+3,84+3,84+3,84+3,85+3,87+3,87+3,87+3,86+3,88+3,88+3,88+3,86+3,82+3,81+3,81+3,81+3,82+3,79+3,71+3,71+3,71+3,79+3, Spain Primera Division (1),82.0,16.0,255.0,"['He’s the best midfielder in the world. This guy is pure class and elegance. He was the engine behind the rise of Tottenham, he’s the engine of Madrid and Croatia. Kroos precision is out of this world but Modrić dictates the game from defense to offense, age is catching up to him but he’s still the best. Don’t at me.', 'XDDDDDDDDDD ahahahhahaahahah', 'Will always love modric for his style and what he s done for us , but no he is not the best midfielder in the world at this point in his career.', ""It's not 2017 bruh"", '???', 'KDB is so much better. ', '88/88 Modrić ', '86/86', ""he's already having the same number (G+A) as last season with only playing 30% of the minutes which is impressive"", 'I am honestly in aw after that goal.', '91/91', 'He’s scoring every other game now. Bring back 90/90. Second best player in La liga other than Messi ', 'Lay off the weed', 'More goals and assists and Griezmann lmao', 'How? ', 'Griezmann: 9 goals 4 assists.', 'Modric: 5 goals  5 assists.', 'Per 90 minutes Modric has more goals and assists than Griezmann. He also pretty much does all the playmaking in Madrids midfield, and obviously hes a central midfielder instead of a striker. He also is encouraged not to push forward, and 2/4 of his La liga goals have come from outside the box.', 'Keep dreaming', 'What a goal']",7969,L. Modrić,Real Madrid,Croatia,2618,3,11
7,8,183277,https://sofifa.com/player/183277/eden-hazard/19/159222,E. Hazard,Eden Hazard,27,07/01/1991,173,74,Belgium,Chelsea,91,91,93000000,340000,"LW, CF",Right,4,4,4,High/Medium,Normal,Yes,172100000.0,"#Speedster, #Dribbler, #Acrobat",LW,10,,01/07/2012,2020,LF,10.0,91.0,82.0,86.0,94.0,35.0,67.0,,,,,,,"Beat Offside Trap, Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",81,84,61,89,80,95,83,79,83,94,93,89,95,90,94,80,56,83,66,80,54,41,87,89,86,91,34,27,22,11,12,6,8,8,83+3,83+3,83+3,89+3,88+3,88+3,88+3,89+3,89+3,89+3,89+3,89+3,82+3,82+3,82+3,89+3,66+3,63+3,63+3,63+3,66+3,60+3,49+3,49+3,49+3,60+3, English Premier League (1),292.0,51.0,873.0,"[""87 or 88 nothing more. Doesn't make sense for him to be 91 in FIFA. Cavani literally went from 89 to 86 because of less game time. "", 'He will return to his best ', 'Screenshot this ', 'new update, no downgrade ', ""guy's been overrated for years"", 'How', '', ""never was as productive as he should've been, compared with players way better than him"", '75/75', 'Hazard out injured, must’ve got his fingers jammed in the biscuit tin. ', ""In real, there are many ability differences between him and Neymar. But i don't know why their rating is too close in fifa. To be honest, Hazard never have shown performance like Neymar. So Ea have to downgrade his rating. They downgraded Pogba because of his injury, but why they don't downgrade his rating? He should be 89, not over 90 at all."", 'What a Waste of money. The season is almost up and he has only played 8 games. And the cherry on a popsicle of shit he is 29 years old and the record signing. I’m losing patience with him.', 'my man talking sense', 'for the first time, its an achievement', ""He's a waste of money based off of a couple of months?"", 'How is the season ""almost up""? We\'re now entering the crucial period, it ain\'t over, if anything it\'s just starting to get exciting. ', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",2331,E. Hazard,Chelsea,Belgium,2926,16,15
8,9,200389,https://sofifa.com/player/200389/jan-oblak/19/159222,J. Oblak,Jan Oblak,25,07/01/1993,188,87,Slovenia,Atlético Madrid,90,93,68000000,94000,GK,Right,3,3,1,Medium/Medium,Normal,Yes,144500000.0,,GK,13,,17/07/2014,2021,SUB,1.0,,,,,,,86.0,92.0,78.0,89.0,52.0,88.0,"Puncher, GK Long Throw, Comes For Crosses",13,11,15,29,13,12,13,14,26,16,43,60,67,86,49,22,76,41,78,12,34,19,11,70,11,70,27,12,18,86,92,78,88,89,,,,,,,,,,,,,,,,,,,,,,,,,,, Spain Primera Division (1),137.0,9.0,676.0,"[""He's either a headless chicken or a dead starfish when it comes to penalties. "", 'Oblak : 91 ', 'Alisson : 90', 'Navas : 90', 'ter Stegen : 90', 'Courtois : 89', 'Best goalkeeper in the world he really kept them in the games against Real Madrid and Barcelona during the super cup had a lot of unbelievable saves', '92/93', 'He needs to work a lot on penalties', 'He is Karius when hes facing penaltys.', 'He and the ref  saved Atletico vs Barcelona in Supercopa. 92/93 deserved. Note reflexes defenetly and Diving. Ea pls correct IT. ', '92-93', 'Best goalkeeper on the world, deserves a better team where he can win more championships ', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",8011,J. Oblak,Atlético Madrid,Slovenia,3330,0,20
9,14,188545,https://sofifa.com/player/188545/robert-lewandowski/19/159222,R. Lewandowski,Robert Lewandowski,29,21/08/1988,184,80,Poland,FC Bayern München,90,90,77000000,205000,ST,Right,4,4,4,High/Medium,Normal,Yes,127100000.0,"#FK Specialist, #Clinical Finisher",ST,9,,01/07/2014,2021,LS,9.0,78.0,89.0,75.0,85.0,41.0,82.0,,,,,,,"Injury Free, Finesse Shot, Chip Shot (CPU AI Only)",62,91,85,83,89,85,77,86,65,89,77,78,78,90,78,88,84,78,84,84,80,39,91,77,88,86,34,42,19,15,6,12,8,10,87+3,87+3,87+3,83+3,86+3,86+3,86+3,83+3,83+3,83+3,83+3,81+3,77+3,77+3,77+3,81+3,61+3,62+3,62+3,62+3,61+3,58+3,57+3,57+3,57+3,58+3, German 1. Bundesliga (1),174.0,34.0,496.0,"['T.Werner top speed 33km/h', '', 'Se a diferença é tão pouca, porque um tem o pique 91 e o outro só 77???', ""That's stupid, EA are fucking dumb"", '91/91', '94/94', '92/92 ', 'Like I stated many times, upgrade his heading accuracy and jumping.', 'What a header', 'Ronaldo 93/93', 'Lewandoski 92/92', 'Aguero 90/90', 'Suarez 89/89', 'Firmino 88/90', 'Kane 88/89', 'Benzema 88/88', 'Lukaku 87/88', '', ""Lewandowski 94 he's better then all of them this season"", 'What a bullet header against Mainz, great goal']",3371,R. Lewandowski,Bayern München,Poland,2959,22,12
