Aaron  Hughes,Aaron Hughes,96
Aaron  Lennon,Aaron Lennon,96
Aaron Comrie,Aaron Comrie,100
Aaron Cresswell,Aaron Cresswell,100
Aaron Leya Iseka,Aaron Leya Iseka,100
Aaron McGowan,Aaron McGowan,100
Aaron Meijers,Aaron Meijers,100
Aaron Ramsey,Aaron Ramsey,100
Aaron Taylor-Sinclair,Aaron Taylor-Sinclair,100
Aaron Tshibola,Aaron Tshibola,100
Aaron Wan-Bissaka,Aaron Wan-Bissaka,100
Aatif Chahechouhe,Aatif Chahechouhe,100
Abdallah Ndour,Abdallah N'Dour,90
Abdel Malik Hsissane,Abdel Malik Hsissane,100
Abdelaziz Barrada,Abdelaziz Barrada,100
Abdenasser El Khayati,Abdenasser El Khayati,100
Abdiel Arroyo Molinar,Abdiel Arroyo Molinar,100
Abdou Diallo,Abdou Diallo,100
Abdou Razack Traoré,Abdou Razak Traoré,97
Abdoulay Diaby,Abdoulay Diaby,100
Abdoulaye Bamba,Abdoulaye Bamba,100
Abdoulaye Dabo,Abdoulaye Dabo,100
Abdoulaye Diallo,Abdoulaye Diallo,100
Abdoulaye Doucouré,Abdoulaye Doucouré,100
Abdoulaye Seck,Abdoulaye Seck,100
Abdoulaye Touré,Abdoulaye Touré,100
Abdul Ajagun,Abdul Ajagun,100
Abdul Majeed Waris,Abdul Majeed Waris,100
Abdul Manaf Nurudeen,Abdul Manaf Nurudeen,100
Abdul Mumin,Abdul Mumin,100
Abdul Rahman Baba,Abdul Rahman Baba,100
Abdulkadir Parmak,Abdulkadir Parmak,100
Abdullah Durak,Abdullah Durak,100
Abdulsamed Damlu,Abdulsamed Damlu,100
Abdulwahid Sissoko,Abdulwahid Sissoko,100
Abdussamed Karnuçu,Abdussamed Karnuçu,100
Abdülkadir Ömür,Abdülkadir Ömür,100
Abel Mathías Hernández Platero,Abel Mathías Hernández Platero,100
Abel Ruiz Ortega,Abel Ruiz Ortega,100
Aboubakar Keita,Aboubakary Koita,90
Aboubakary Koita,Aboubakary Koita,100
Achilléas Poúngouras,Achilleas Poungouras,90
Achraf Hakimi Mouh,Achraf Hakimi Mouh,100
Adam Banasiak,Adam Banasiak,100
Adam Bodzek,Adam Bodzek,100
Adam Buksa,Adam Buksa,100
Adam Chrzanowski,Adam Chrzanowski,100
Adam Danch,Adam Danch,100
Adam David Lallana,Adam David Lallana,100
Adam Dźwigała,Adam Dźwigała,100
Adam Eckersley,Adam Eckersley,100
Adam Frączczak,Adam Fraczczak,93
Adam Hloušek,Adam Hloušek,100
Adam Jakubech,Adam Jakubech,100
Adam Kokoszka,Adam Kokoszka,100
Adam Maher,Adam Maher,100
Adam Marciniak,Adam Marciniak,100
Adam Marušić,Adam Marušić,100
Adam Masina,Adam Masina,100
Adam Matuszczyk,Adam Matuszczyk,100
Adam Ounas,Adam Ounas,100
Adam Phillips,Adam Phillips,100
Adam Ryczkowski,Adam Ryczkowski,100
Adam Smith,Adam Smith,100
Adam Wolniewicz,Adam Wolniewicz,100
Adama Guira,Adama Guira,100
Adama Niane,Adama Niane,100
Adama Traoré,Adama Traoré,100
Adama Traoré Diarra,Adama Traoré Diarra,100
Adelino André Vieira de Freitas,Adelino André Vieira Freitas,95
Adem Büyük,Adem Büyük,100
Adem Ljajić,Adem Ljajić,100
Ademola Lookman,Ademola Lookman,100
Adil Nabi,Adil Nabi,100
Adil Rami,Adil Rami,100
Adis Jahović,Adis Jahović,100
Admir Mehmedi,Admir Mehmedi,100
Adnan Januzaj,Adnan Januzaj,100
Adnan Kovačević,Adnan Kovačević,100
Adnane Tighadouini,Adnane Tighadouini,100
Adrian Benedyczak,Adrian Benedyczak,100
Adrian Czaplak,Adrian Czaplak,100
Adrian Danek,Adrian Danek,100
Adrian Grbic,Adrian Grbic,100
Adrian Gryszkiewicz,Adrian Gryszkiewicz,100
Adrian Kajpust,Adrian Kajpust,100
Adrian Kappenberger,Adrian Kappenberger,100
Adrian Klimczak,Adrian Klimczak,100
Adrian Mariappa,Adrian Mariappa,100
Adrian Purzycki,Adrian Purzycki,100
Adrian Winter,Adrian Winter,100
Adriano Correia Claro,Adriano Correia Claro,100
Adrien Bongiovanni,Adrien Bongiovanni,100
Adrien Hunou,Adrien Hunou,100
Adrien Rabiot,Adrien Rabiot,100
Adrien Regattin,Adrien Regattin,100
Adrien Sebastian Perruchet Silva,Adrien Sebastian Perruchet Silva,100
Adrien Tameze,Adrien Tameze,100
Adrien Thomasson,Adrien Thomasson,100
Adrien Trebel,Adrien Trebel,100
Adriàn Dalmau Vaquer,Adrián Dalmau Vaquer,95
Adrián Diéguez Grande,Adrián Diéguez Grande,100
Adrián Marín Gómez,Adrián Marín Gómez,100
Adrián San Miguel del Castillo,Adrián San Miguel del Castillo,100
Adryan Oliveira Tavares,Adryan Oliveira Tavares,100
Afimico Pululu,Afimico Pululu,100
Agustín García Íñiguez,Agustín García Iñiguez,95
Ahmad Mendes Moreira,Ahmad Mendes Moreira,100
Ahmed El Messaoudi,Ahmed El Messaoudi,100
Ahmed Ildız,Ahmed Ildiz,91
Ahmet Gürleyen,Ahmet Gürleyen,100
Ahogrenashinme Kigbu,Ahogrenashinme Kigbu,100
Ailton Ferreira Silva,Ailton Ferreira Silva,100
Aimery Pinga Maria,Aimery Pinga Maria,100
Ainsley Maitland-Niles,Ainsley Maitland-Niles,100
Airam López Cabrera,Airam López Cabrera,100
Ajdin Hrustić,Ajdin Hrustic,92
