D. Szymański,Damian Szymański,79
T. Schrammel,Thomas Schrammel,79
M. Ritzmaier,Marcel Ritzmaier,79
G. Bonaventura,Giacomo Bonaventura,79
Fábio Martins,Fábio Santos Martins,79
M. Rodrigues,Miguel Rodrigues,79
M. Samuelsen,Martin Samuelsen,79
N. Tiknizyan,Nayair Tiknizyan,79
M. Schmelzer,Marcel Schmelzer,79
Francisco Geraldes,Francesco Verde,79
K. Kanatsızkuş,Kubilay Kanatsızkuş,79
Ferrán Torres,Ferrán Torres García,79
Fernando Canesín,Fernando Canesin Matos,79
T. Kolodziejczak,Timothée Kolodziejczak,79
T. Jodłowiec,Tomasz Jodłowiec,79
T. Goiginger,Thomas Goiginger,79
R. Niemeijer,Reuven Niemeijer,79
T. Damsgaard,Tobias Damsgaard,79
Jordi Masip,Jordi Masip López,79
M. Spielmann,Marvin Spielmann,79
Sergio Asenjo,Sergio Asenjo Andrés,79
T. Nishimura,Takuma Nishimura,79
G. Giakoumakis,Giorgos Giakoumakis,79
G. Giannoutsos,Giorgos Giannoutsos,79
T. Strakosha,Thomas Strakosha,79
M. Aebischer,Michel Aebischer,79
H. Nordtveit,Håvard Nordtveit,79
H. Hermannsson,Hjörtur Hermannsson,79
V. Tsygankov,Viktor Tsygankov,79
Alberto Martín,Alberto Moreno,79
V. Kovalenko,Viktor Kovalenko,79
R. Gagliardini,Roberto Gagliardini,79
R. Haemhouts,Robbie Haemhouts,79
M. Oikonomou,Marios Oikonomou,79
André Moreira,André Campos Moreira,79
M. Kirkeskov,Mikkel Kirkeskov,79
O. El Hajjam,Oualid El Hajjam,79
Thiago Cionek,Thiago Rangel Cionek,79
Azpilicueta,Cesar Azpilicueta,79
G. Makaridze,Giorgi Makaridze,79
O. Ben-Harush,Omri Ben Harush,79
G. Kvilitaia,Giorgi Kvilitaia,79
B. Bereszyński,Bartosz Bereszyński,79
T. Vermaelen,Thomas Vermaelen,79
G. Hendrickx,Gaëtan Hendrickx,79
B. Dejaegere,Brecht Dejaegere,79
S. Żurkowski,Szymon Żurkowski,79
R. El Hankouri,Redouan El Hankouri,79
N. Moisander,Niklas Moisander,79
F. Fischerauer,Florian Fischerauer,79
Ricardo Almeida,Ricardo Almeida Ribeiro,79
Rodrigo Pinho,Rodrigo Palacio,79
D. Le Tallec,Damien Le Tallec,79
D. Luxbacher,Daniel Luxbacher,79
D. MacKinnon,Darian MacKinnon,79
K. Coulibaly,Kalifa Coulibaly,79
D. McAllister,Kyle McAllister,79
S. Armstrong,Stuart Armstrong,79
S. Moharrami,Sadegh Moharrami,79
S. Pawłowski,Szymon Pawłowski,79
D. Sturridge,Daniel Sturridge,79
M. Zeegelaar,Marvin Zeegelaar,79
S. Missiroli,Simone Missiroli,79
D. Warmerdam,Django Warmerdam,79
S. El Shaarawy,Stephan El Shaarawy,79
S. Gustafsson,Simon Gustafson,79
K. O'Sullivan,John O'Sullivan,79
S. Ingelsson,Svante Ingelsson,79
S. Kırıntılı,Serkan Kırıntılı,79
Dani Rodríguez,Jony Rodríguez,79
S. De Petter,Steven De Petter,79
M. Warcholak,Marcin Warcholak,79
D. Dąbrowski,Damian Dąbrowski,79
D. Dessoleil,Dorian Dessoleil,79
F. El Mellali,Farid El Melali,79
R. Snodgrass,Robert Snodgrass,79
S. Zwierschitz,Stephan Zwierschitz,79
M. Szczepaniak,Mateusz Szczepaniak,79
M. Thurnwald,Manuel Thurnwald,79
S. Whittaker,Steven Whittaker,79
M. Tisserand,Marcel Tisserand,79
R. Thelander,Rasmus Thelander,79
N. De Medina,Nathan De Medina,79
Cristian Rivero,Cristian Rivero Sabater,79
S. Sydorchuk,Serhiy Sydorchuk,79
S. Skrzybski,Steven Skrzybski,79
M. Twarowski,Maciej Twarowski,79
D. Baumgartner,Dominik Baumgartner,79
D. Brosinski,Daniel Brosinski,79
