,full_name,Current Club,nationality,minutes_played_overall,goals_overall,clean_sheets_overall
0,Anastasios Avlonitis,Sturm Graz,Greece,1683,0,6
1,Zlatko Junuzović,Salzburg,Austria,1626,4,7
2,André Ramalho Silva,Salzburg,Brazil,2394,1,9
3,Fabian Benko,LASK Linz,Croatia,102,0,1
4,Raphael Obermair,Sturm Graz,Germany,257,0,0
5,Florian Klein,Austria Wien,Austria,2880,2,7
6,Philipp Hosiner,Sturm Graz,Austria,645,3,3
7,Richard Strebinger,Rapid Wien,Austria,2880,0,12
8,Ivan Lucic,Austria Wien,Austria,450,0,1
9,Alexander Walke,Salzburg,Germany,360,0,0
10,Andreas Ulmer,Salzburg,Austria,2381,0,11
11,Munas Dabbur,Salzburg,Israel,2139,20,11
12,Diadie Samassekou,Salzburg,Mali,2260,1,10
13,Cican Stankovic,Salzburg,Austria,2520,0,11
14,Stefan Lainer,Salzburg,Austria,2250,1,7
15,Fredrik Gulbrandsen,Salzburg,Norway,1124,7,7
16,Otar Kiteishvili,Sturm Graz,Georgia,2449,4,10
17,Takumi Minamino,Salzburg,Japan,1744,6,9
18,Andrija Pavlović,Rapid Wien,Serbia,1120,4,7
19,Xaver Schlager,Salzburg,Austria,2151,5,8
20,Boli Bolingoli Mbombo,Rapid Wien,Belgium,2344,2,12
21,Emanuel Pogatetz,LASK Linz,Austria,864,0,6
22,Lukas Schmitz,Wolfsberger AC,Germany,2697,2,9
23,Filipe Miguel Neves Ferreira,Sturm Graz,Portugal,212,0,0
24,Sinan Bakış,Admira,Turkey,1455,4,4
25,Cheikhou Dieng,Wacker Innsbruck,Senegal,2052,4,7
26,Jakob Jantscher,Sturm Graz,Austria,723,2,4
27,Bright Osagie Edomwonyi,Austria Wien,Nigeria,1498,5,5
28,Michael Madl,Austria Wien,Austria,2260,1,6
29,Juan Domínguez Lamas,Sturm Graz,Spain,879,0,4
30,Jefté Betancor Sánchez,Mattersburg,Spain,118,1,0
31,Joshua Gatt,Rheindorf Altach,USA,703,1,1
32,Veton Berisha,Rapid Wien,Norway,871,3,4
33,Erling Håland,Salzburg,Norway,83,1,0
34,Dogan Erdogan,LASK Linz,Turkey,98,0,2
35,Marcel Ritzmaier,Wolfsberger AC,Austria,2479,1,8
36,Martin Pusic,Mattersburg,Austria,1673,9,7
37,Uroš Matić,Austria Wien,Serbia,2575,5,7
38,Cristian Alejandro Cuevas Jara,Austria Wien,Chile,1198,0,6
39,Emeka Friday Eze,Sturm Graz,Nigeria,927,2,8
40,Dever Orgill,Wolfsberger AC,Jamaica,1295,4,6
41,Pyry Soiri,Admira,Finland,844,2,2
